title,href,img,id
July / 解锁薄荷味夏日带来的惬意感,https://music.163.com/playlist?id=5071672662,http://p1.music.126.net/bLAI-uygZ_9jNCO9_5xrDw==/109951165116252497.jpg?param=200y200,5071672662
乐坛“破圈”大佬 | 主副业全能,https://music.163.com/playlist?id=5104104942,http://p1.music.126.net/wswfwGinA8TZxv97eRgAQw==/109951165125139763.jpg?param=200y200,5104104942
日语说唱 | 糖果色的夏天要尝一口！,https://music.163.com/playlist?id=5106136892,http://p1.music.126.net/fFZgVA0AW4VSeJOT1XYhkg==/109951165128746214.jpg?param=200y200,5106136892
夏日限定心动 : 与暖风和你撞个满怀♡,https://music.163.com/playlist?id=4995568816,http://p1.music.126.net/9Py2rc2-p6AlK14ujsl46Q==/109951165009018570.jpg?param=200y200,4995568816
果味诱惑³｜柠檬莫吉托的清甜碰撞,https://music.163.com/playlist?id=5085596551,http://p1.music.126.net/lc1RfF3iMhWx1bN7MktmXw==/109951165096849106.jpg?param=200y200,5085596551
[最佳演出现场] 华语热门演唱会现场线上听,https://music.163.com/playlist?id=4991155974,http://p1.music.126.net/tyd4nBkZR3ScbGmwNp3wNA==/109951165040355132.jpg?param=200y200,4991155974
甜甜的纯音乐♡♡♡请保持一颗少女心u,https://music.163.com/playlist?id=3212113629,http://p1.music.126.net/obcj14wkXcv20zBkTtshtQ==/109951165024400763.jpg?param=200y200,3212113629
[欧美私人订制] 最懂你的欧美推荐 每日更新35首,https://music.163.com/playlist?id=2829816518,http://p1.music.126.net/3R1tDUe2fzLQC0RBC1Kzng==/109951164614309528.jpg?param=200y200,2829816518
网易云比你懂我,https://music.163.com/playlist?id=3134064854,http://p1.music.126.net/v1rXGjx3wHunScmOwEVaiQ==/109951164877258119.jpg?param=200y200,3134064854
「汤 姆·哈 迪 专 属」,https://music.163.com/playlist?id=3195063951,http://p1.music.126.net/Tld8MKjMj-1QK0lSq5aZVA==/109951165056310006.jpg?param=200y200,3195063951
学习歌单～（超赞纯音乐！）,https://music.163.com/playlist?id=4895239160,http://p2.music.126.net/UOhYjUFS7V-_RgXxQmrRKw==/109951165088874864.jpg?param=200y200,4895239160
刷题 看书 学习 工作 冥想,https://music.163.com/playlist?id=4879799554,http://p2.music.126.net/XWYYemCMmSfgFTrgdwR1CA==/109951164737070906.jpg?param=200y200,4879799554
『宝藏纯音』清新淡雅遗世独立,https://music.163.com/playlist?id=4866586492,http://p2.music.126.net/WxB43IQsghe6FZWDGt8YFg==/109951164712714221.jpg?param=200y200,4866586492
千里狗/陈阳/王巨星/en/要不要买菜/王泽科,https://music.163.com/playlist?id=3094646186,http://p2.music.126.net/_0H181See5_-8RljDvFtsw==/109951164666083917.jpg?param=200y200,3094646186
极光轻音乐 | 与星空同眠,https://music.163.com/playlist?id=4906766923,http://p2.music.126.net/LJsMADNvkK_0ilmXbKg_TQ==/109951164809294621.jpg?param=200y200,4906766923
王者荣耀曜战歌 (BGM)上分必备。,https://music.163.com/playlist?id=3186308594,http://p2.music.126.net/ACyadncod3XklzHmA09z6w==/109951164617353380.jpg?param=200y200,3186308594
南京市民李先生,https://music.163.com/playlist?id=3231993981,http://p2.music.126.net/Et-6wmGDyDg1z_yfry-ONw==/109951164827034265.jpg?param=200y200,3231993981
纯音♪心底里的那抹温柔,https://music.163.com/playlist?id=4939476056,http://p2.music.126.net/qgV1umHW_pidImy3WYNxnw==/109951164850808707.jpg?param=200y200,4939476056
冷门亦惊艳｜聆听女声与电音的心动交汇,https://music.163.com/playlist?id=4899659549,http://p2.music.126.net/FFv3X-5m13Bi6kO5ObcAOQ==/109951164774795457.jpg?param=200y200,4899659549
阅读书籍的背景音乐,https://music.163.com/playlist?id=3225804129,http://p2.music.126.net/1jLLmcZOkCsXLzOiJpdKxg==/109951164869073342.jpg?param=200y200,3225804129
嘘，请安静（作业/读书/夜晚/氛围）,https://music.163.com/playlist?id=4906532971,http://p2.music.126.net/pMVnViboITvn_KDmcfoaEA==/109951164873911421.jpg?param=200y200,4906532971
